prosperity_index,house_is,price,rooms_number,area,equipped_kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,swimming_pool_has,property_subtype_APARTMENT_BLOCK,property_subtype_DUPLEX,property_subtype_GROUND_FLOOR,property_subtype_HOUSE,property_subtype_MIXED_USE_BUILDING,property_subtype_OTHER,property_subtype_PENTHOUSE,property_subtype_VILLA,region_F,region_W,building_state_agg_renovated,building_state_agg_to_renovate
95.0,1,1695000.0,4.0,485.0,1,0,0,1,20.0,1,800.0,1276.0,1,0,0,0,1,0,0,0,0,0,0,0,0
95.0,1,1595000.0,4.0,400.0,1,0,0,1,0.0,1,500.0,1000.0,0,0,0,0,0,0,0,0,1,0,0,0,0
95.0,1,550000.0,3.0,176.0,1,0,0,1,13.0,1,81.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1
95.0,1,750000.0,4.0,230.0,1,0,0,1,60.0,0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0
95.0,1,845000.0,6.0,294.0,1,0,0,1,0.0,1,1.0,351.0,0,0,0,0,1,0,0,0,0,0,0,0,1
95.0,1,895000.0,5.0,331.0,1,0,0,1,0.0,1,41.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0
95.0,1,525000.0,3.0,122.0,1,0,0,1,0.0,1,63.0,120.0,0,0,0,0,1,0,0,0,0,0,0,0,0
95.0,1,535000.0,3.0,160.0,1,0,0,1,0.0,1,170.0,258.0,0,0,0,0,1,0,0,0,0,0,0,0,0
95.0,1,2650000.0,7.0,550.0,1,0,1,1,0.0,0,0.0,8800.0,0,0,0,0,1,0,0,0,0,0,0,0,0
95.0,1,789000.0,5.0,220.0,1,0,0,1,16.0,1,38.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1
95.0,1,710000.0,6.0,250.0,1,0,0,0,0.0,1,30.0,176.0,0,0,0,0,1,0,0,0,0,0,0,0,0
95.0,1,475000.0,5.0,290.0,1,0,0,1,26.0,1,120.0,272.0,0,0,0,0,1,0,0,0,0,0,0,0,0
95.0,1,1200000.0,6.0,245.0,1,0,0,1,100.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0
95.0,1,450000.0,4.0,140.0,1,0,0,1,15.0,1,100.0,167.0,0,0,0,0,1,0,0,0,0,0,0,0,1
95.0,1,1200000.0,5.0,280.0,1,0,0,1,30.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0
95.0,1,850000.0,4.0,185.0,1,0,0,1,35.0,1,1.0,388.0,0,0,0,0,1,0,0,0,0,0,0,0,0
95.0,0,425000.0,3.0,125.0,1,0,0,1,10.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,449000.0,3.0,139.0,1,0,0,1,19.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,455000.0,3.0,146.0,1,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,435000.0,3.0,140.0,1,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,395000.0,4.0,152.0,1,0,0,1,34.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
95.0,0,625000.0,3.0,164.0,1,0,0,1,85.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
95.0,0,395000.0,3.0,128.0,1,0,0,1,22.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,458000.0,3.0,109.0,1,0,0,1,8.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,290000.0,2.0,91.0,1,0,0,1,8.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
95.0,0,270000.0,1.0,55.0,1,0,0,1,15.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,840000.0,4.0,274.0,1,0,0,1,93.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
95.0,0,249000.0,2.0,75.0,1,0,0,1,16.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,298000.0,2.0,95.0,1,0,0,1,5.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,280000.0,2.0,100.0,1,0,0,1,9.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
95.0,0,330000.0,2.0,103.0,1,0,0,1,23.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,375000.0,2.0,105.0,1,0,0,1,8.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,775000.0,4.0,218.0,1,0,0,1,51.0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
95.0,0,825000.0,4.0,238.0,1,0,0,1,81.0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
95.0,0,890000.0,4.0,220.0,1,0,0,1,85.0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
95.0,0,299999.0,2.0,90.0,1,0,0,1,5.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
95.0,0,369000.0,2.0,103.0,1,0,0,1,13.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
95.0,0,450000.0,2.0,116.0,1,0,0,1,15.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
